city,parameter,horizon_hours,MAE,RMSE,MAPE,count,evaluation_timestamp
Koper,temperature_2m,1,0.912,1.178,4.312,8,2025-06-06T09:55:40.926645
Koper,temperature_2m,2,1.086,1.222,5.252,7,2025-06-06T09:55:40.926645
Koper,temperature_2m,3,0.983,1.173,4.609,6,2025-06-06T09:55:40.926645
Koper,temperature_2m,4,1.100,1.243,5.104,5,2025-06-06T09:55:40.926645
Koper,temperature_2m,5,1.200,1.358,5.360,4,2025-06-06T09:55:40.936787
Koper,temperature_2m,6,1.467,1.560,6.359,3,2025-06-06T09:55:40.936787
Koper,temperature_2m,7,1.150,1.202,4.699,2,2025-06-06T09:55:40.938394
Koper,temperature_2m,8,0.800,0.800,3.175,1,2025-06-06T09:55:40.939322
Koper,windspeed_10m,1,1.450,1.761,26.481,8,2025-06-06T09:55:40.939322
Koper,windspeed_10m,2,1.557,1.822,28.918,7,2025-06-06T09:55:40.940330
Koper,windspeed_10m,3,1.650,1.811,31.775,6,2025-06-06T09:55:40.941333
Koper,windspeed_10m,4,1.500,1.788,24.797,5,2025-06-06T09:55:40.941333
Koper,windspeed_10m,5,1.550,2.033,21.869,4,2025-06-06T09:55:40.942329
Koper,windspeed_10m,6,1.800,2.258,24.231,3,2025-06-06T09:55:40.943329
Koper,windspeed_10m,7,2.550,2.758,32.180,2,2025-06-06T09:55:40.943329
Koper,windspeed_10m,8,1.500,1.500,12.931,1,2025-06-06T09:55:40.944330
Ljubljana,temperature_2m,1,0.737,1.017,3.664,8,2025-06-06T09:55:41.030859
Ljubljana,temperature_2m,2,0.857,1.085,4.287,7,2025-06-06T09:55:41.030859
Ljubljana,temperature_2m,3,0.967,1.142,4.835,6,2025-06-06T09:55:41.030859
Ljubljana,temperature_2m,4,1.020,1.211,5.002,5,2025-06-06T09:55:41.030859
Ljubljana,temperature_2m,5,1.150,1.347,5.503,4,2025-06-06T09:55:41.030859
Ljubljana,temperature_2m,6,1.467,1.512,6.997,3,2025-06-06T09:55:41.030859
Ljubljana,temperature_2m,7,1.700,1.712,7.807,2,2025-06-06T09:55:41.036785
Ljubljana,temperature_2m,8,1.900,1.900,8.297,1,2025-06-06T09:55:41.037805
Ljubljana,windspeed_10m,1,1.225,1.720,59.315,8,2025-06-06T09:55:41.038801
Ljubljana,windspeed_10m,2,1.229,1.810,39.263,7,2025-06-06T09:55:41.039802
Ljubljana,windspeed_10m,3,1.400,2.046,40.246,6,2025-06-06T09:55:41.039802
Ljubljana,windspeed_10m,4,1.560,2.222,39.296,5,2025-06-06T09:55:41.039802
Ljubljana,windspeed_10m,5,1.750,2.402,34.697,4,2025-06-06T09:55:41.039802
Ljubljana,windspeed_10m,6,2.200,2.717,39.615,3,2025-06-06T09:55:41.039802
Ljubljana,windspeed_10m,7,3.150,3.320,51.923,2,2025-06-06T09:55:41.039802
Ljubljana,windspeed_10m,8,4.200,4.200,50.000,1,2025-06-06T09:55:41.039802
Maribor,temperature_2m,1,0.838,0.940,4.265,8,2025-06-06T09:55:41.136749
Maribor,temperature_2m,2,0.857,0.968,4.323,7,2025-06-06T09:55:41.137763
Maribor,temperature_2m,3,0.900,1.017,4.469,6,2025-06-06T09:55:41.138763
Maribor,temperature_2m,4,0.960,1.081,4.653,5,2025-06-06T09:55:41.139616
Maribor,temperature_2m,5,1.200,1.253,5.763,4,2025-06-06T09:55:41.139616
Maribor,temperature_2m,6,1.400,1.431,6.531,3,2025-06-06T09:55:41.139616
Maribor,temperature_2m,7,1.550,1.570,6.977,2,2025-06-06T09:55:41.139616
Maribor,temperature_2m,8,1.800,1.800,7.792,1,2025-06-06T09:55:41.139616
Maribor,windspeed_10m,1,0.938,1.121,44.007,8,2025-06-06T09:55:41.139616
Maribor,windspeed_10m,2,0.700,0.801,31.302,7,2025-06-06T09:55:41.139616
Maribor,windspeed_10m,3,0.567,0.712,28.031,6,2025-06-06T09:55:41.139616
Maribor,windspeed_10m,4,0.820,0.954,49.511,5,2025-06-06T09:55:41.139616
Maribor,windspeed_10m,5,1.000,1.089,60.240,4,2025-06-06T09:55:41.139616
Maribor,windspeed_10m,6,0.700,0.881,46.601,3,2025-06-06T09:55:41.139616
Maribor,windspeed_10m,7,0.400,0.566,10.811,2,2025-06-06T09:55:41.139616
Maribor,windspeed_10m,8,0.000,0.000,0.000,1,2025-06-06T09:55:41.139616
